"Customer ID","Recency","Frequency","Monetary","AvgOrderValue","AvgQuantity","TotalQuantity","OutlierOrders","Country","Churn","HighValue","Segment","CountryGroup"
"12346",235.117361111111,12,77556.46,6463.03833333333,2184.85294117647,74285,1,"United Kingdom",1,1,2,"United Kingdom"
"12347",39.1680555555556,6,3402.39,567.065,12.7987804878049,2099,6,"Iceland",0,1,3,"Other"
"12348",158.085416666667,4,1709.4,427.35,52.0208333333333,2497,19,"Finland",0,0,3,"Other"
"12349",317.185416666667,3,2671.14,890.38,9.73529411764706,993,1,"Italy",0,1,1,"Other"
"12350",219.867361111111,1,334.4,334.4,11.5882352941176,197,0,"Norway",1,0,3,"Other"
"12351",284.89375,1,300.93,300.93,12.4285714285714,261,0,"Unspecified",1,0,1,"Other"
"12352",171.8625,7,1905.61,272.23,7.89285714285714,442,0,"Norway",0,0,3,"Other"
"12353",113.79375,2,406.76,203.38,8.83333333333333,212,0,"Bahrain",1,0,3,"Other"
"12354",141.985416666667,1,1079.4,1079.4,9.13793103448276,530,4,"Spain",1,0,3,"Spain"
"12355",123.959027777778,2,947.61,473.805,15.5142857142857,543,3,"Bahrain",1,0,3,"Other"
"12356",155.011805555556,5,6313.38,1262.676,24.3642857142857,3411,38,"Portugal",0,1,3,"Other"
"12357",297.93125,2,12079.99,6039.995,23.5090909090909,3879,40,"Switzerland",0,1,1,"Other"
"12358",60.1152777777778,4,3203.87,800.9675,13.3,931,9,"Austria",0,1,3,"Other"
"12359",99.0166666666667,9,6059.09,673.232222222222,8.05769230769231,2095,2,"Cyprus",0,1,3,"Other"
"12360",22.1111111111111,7,3209.11,458.444285714286,12.0736196319018,1968,6,"Austria",0,1,3,"Other"
"12361",196.957638888889,4,511.25,127.8125,8.10344827586207,235,0,"Belgium",1,0,3,"Belgium"
"12362",29.9083333333333,5,1877.35,375.47,9.33018867924528,989,2,"Belgium",0,0,3,"Belgium"
"12363",19.1055555555556,2,552,276,17.7391304347826,408,1,"Unspecified",1,0,3,"Other"
"12364",21.8930555555556,1,623.92,623.92,16.3235294117647,555,1,"Belgium",0,0,3,"Belgium"
"12365",200.948611111111,2,641.38,320.69,7.90909090909091,174,0,"Cyprus",1,0,3,"Other"
"12366",543.098611111111,1,500.24,500.24,98.6666666666667,296,3,"Cyprus",1,0,1,"Other"
"12368",537.870833333333,1,917.7,917.7,18.3333333333333,330,4,"Cyprus",1,0,1,"Other"
"12369",322.984027777778,3,1791.15,597.05,13.3440860215054,1241,2,"Austria",1,0,1,"Other"
"12370",184.001388888889,6,3577.28,596.213333333333,12.8554913294798,2224,7,"Cyprus",0,1,3,"Other"
"12371",318.967361111111,3,2179.42,726.473333333333,8.125,845,0,"Switzerland",0,0,1,"Other"
"12372",122.088194444444,2,914.92,457.46,15.1794871794872,592,0,"Denmark",0,0,3,"Other"
"12373",220.986111111111,3,1127.65,375.883333333333,10.1176470588235,516,1,"Austria",1,0,3,"Other"
"12374",330.971527777778,3,2246.29,748.763333333333,20.4,1020,12,"Austria",0,0,1,"Other"
"12375",7.93541666666667,1,230.3,230.3,7.90909090909091,87,0,"Finland",0,0,3,"Other"
"12376",299.024305555556,2,503.15,251.575,18.4615384615385,240,4,"Switzerland",1,0,1,"Other"
"12377",224.878472222222,4,3426.32,856.58,13.8486842105263,2105,5,"Switzerland",1,1,3,"Other"
"12378",39.0944444444444,2,5416.32,2708.16,11.0166112956811,3316,7,"Switzerland",1,1,3,"Other"
